timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1731595440000,89568.66000000,89800.64000000,89511.01000000,89730.94000000,112.71691000,1731595499999,10109438.01048520,15510,68.24364000,6120936.42832790,0
1731595500000,89730.93000000,89741.86000000,89400.00000000,89403.05000000,193.46169000,1731595559999,17323425.26067360,20109,57.07009000,5112157.45547240,0
1731595560000,89403.05000000,89494.61000000,89105.99000000,89106.00000000,197.51402000,1731595619999,17640695.29728810,25645,61.58729000,5501727.40679970,0
1731595620000,89106.00000000,89230.55000000,88829.76000000,89215.99000000,323.63248000,1731595679999,28816657.70342430,29847,104.21559000,9282261.85893830,0
1731595680000,89216.00000000,89374.85000000,89036.00000000,89221.60000000,133.50868000,1731595739999,11913721.20132660,22684,75.39224000,6728274.40154770,0
1731595740000,89221.60000000,89252.00000000,88900.15000000,88909.36000000,112.76401000,1731595799999,10042590.82559310,25550,51.14306000,4554786.70784990,0
1731595800000,88909.36000000,89490.70000000,88909.36000000,89404.02000000,152.00146000,1731595859999,13569215.99555930,29272,80.05082000,7145697.24628900,0
1731595860000,89404.02000000,89489.82000000,89290.00000000,89364.11000000,135.28602000,1731595919999,12091678.11269850,21240,61.81502000,5525820.05485670,0
1731595920000,89364.11000000,89364.11000000,89005.24000000,89068.00000000,96.27467000,1731595979999,8584161.50238490,20704,32.26147000,2876927.46986620,0
1731595980000,89068.00000000,89131.75000000,88949.36000000,89067.17000000,80.63870000,1731596039999,7178616.98173860,15920,28.34605000,2523538.85885140,0
1731596040000,89067.18000000,89310.98000000,89067.17000000,89187.00000000,67.17768000,1731596099999,5991452.52018920,20435,33.34126000,2973605.27489100,0
1731596100000,89187.00000000,89357.09000000,89120.64000000,89292.00000000,54.49657000,1731596159999,4863876.01163040,16038,28.81703000,2571814.71785650,0
1731596160000,89292.00000000,89322.25000000,89067.47000000,89100.00000000,64.07827000,1731596219999,5713764.48891640,18915,24.05332000,2144548.27928800,0
1731596220000,89100.01000000,89268.00000000,89027.38000000,89100.04000000,61.93955000,1731596279999,5521629.57959840,17982,27.87836000,2485241.06199840,0
1731596280000,89100.04000000,89197.22000000,89000.00000000,89020.03000000,68.98336000,1731596339999,6142741.68188220,14407,28.96440000,2578897.98799340,0
1731596340000,89020.03000000,89099.99000000,88639.76000000,88720.03000000,170.91911000,1731596399999,15179364.93217980,26744,53.27111000,4731167.22302740,0
1731596400000,88720.03000000,88747.92000000,88422.36000000,88426.62000000,251.62882000,1731596459999,22287506.93462000,34983,77.21674000,6840629.46501510,0
1731596460000,88426.62000000,88640.00000000,88234.19000000,88508.00000000,208.54197000,1731596519999,18434353.33148550,24275,97.95788000,8660471.24842940,0
1731596520000,88508.00000000,88999.99000000,88424.00000000,88912.89000000,173.19551000,1731596579999,15376494.71841740,23485,105.69249000,9383754.27702380,0
1731596580000,88912.90000000,89009.34000000,88818.19000000,88986.46000000,116.92612000,1731596639999,10399998.55008730,23806,64.64828000,5750001.26251980,0
1731596640000,88986.46000000,89176.00000000,88954.19000000,89115.98000000,102.80016000,1731596699999,9157077.04522030,22938,52.98527000,4719687.69768310,0
1731596700000,89115.98000000,89140.01000000,88934.21000000,89140.01000000,115.30959000,1731596759999,10265593.16389170,22500,62.73175000,5584601.38701200,0
1731596760000,89140.00000000,89140.00000000,88915.20000000,89023.99000000,99.44198000,1731596819999,8851509.44801960,20588,48.88401000,4350794.09203260,0
1731596820000,89023.99000000,89200.00000000,88964.02000000,89189.70000000,80.36803000,1731596879999,7158099.57319140,20137,38.34035000,3414832.22106210,0
1731596880000,89189.71000000,89284.00000000,89189.71000000,89204.69000000,93.44620000,1731596939999,8338829.48057660,15752,43.20126000,3855018.31989910,0
1731596940000,89204.69000000,89239.54000000,89052.00000000,89116.00000000,81.40545000,1731596999999,7258899.90041530,18478,30.45505000,2715568.52806580,0
1731597000000,89115.99000000,89146.48000000,88931.79000000,88979.04000000,106.12310000,1731597059999,9447563.45769390,21555,37.08708000,3302237.39992080,0
1731597060000,88979.04000000,89176.00000000,88930.52000000,89148.00000000,94.41619000,1731597119999,8411848.14438740,19022,51.87776000,4621679.07326280,0
1731597120000,89148.00000000,89220.00000000,89048.01000000,89220.00000000,75.58450000,1731597179999,6738928.53218860,21142,42.03876000,3747953.91292240,0
1731597180000,89220.00000000,89400.00000000,89188.01000000,89368.00000000,93.31315000,1731597239999,8335783.14615120,17223,49.39411000,4412207.40218300,0
1731597240000,89368.01000000,89422.15000000,89299.00000000,89393.50000000,65.01670000,1731597299999,5809934.75384700,17955,35.29504000,3154093.86207660,0
1731597300000,89393.51000000,89622.88000000,89358.00000000,89622.87000000,90.60111000,1731597359999,8107915.89874230,16356,50.34834000,4506431.22831050,0
1731597360000,89622.87000000,89638.50000000,89336.01000000,89359.51000000,96.49532000,1731597419999,8634802.82599330,23459,45.60201000,4080981.13254700,0
1731597420000,89359.52000000,89420.23000000,89228.00000000,89233.16000000,61.77167000,1731597479999,5517393.91721440,21491,21.38968000,1910634.07471530,0
1731597480000,89233.16000000,89289.10000000,88973.27000000,89000.34000000,80.42034000,1731597539999,7167171.38390240,25100,28.65024000,2553322.57427930,0
1731597540000,89000.35000000,89044.96000000,88799.67000000,88862.00000000,106.42331000,1731597599999,9461558.44067680,25007,30.47463000,2708926.84136830,0
1731597600000,88862.00000000,89014.52000000,88826.44000000,88826.45000000,81.61693000,1731597659999,7258399.31820330,19625,40.08842000,3564753.83837560,0
1731597660000,88826.45000000,88860.00000000,88614.96000000,88663.98000000,91.75342000,1731597719999,8136837.31710730,24427,33.06154000,2931684.09154370,0
1731597720000,88663.98000000,88863.64000000,88609.81000000,88855.98000000,71.43421000,1731597779999,6336502.08397310,19888,33.39307000,2962342.64922240,0
1731597780000,88855.98000000,88863.98000000,88692.00000000,88712.01000000,65.12271000,1731597839999,5780501.58499250,17797,25.33602000,2248910.08523430,0
1731597840000,88712.00000000,88726.33000000,88536.47000000,88588.01000000,71.64678000,1731597899999,6348418.02002820,19624,32.71429000,2898245.57704620,0
1731597900000,88588.02000000,88709.45000000,88417.21000000,88561.00000000,191.85612000,1731597959999,16985351.95618780,19481,34.62879000,3066537.45670880,0
1731597960000,88560.99000000,88818.22000000,88505.14000000,88788.01000000,72.65248000,1731598019999,6444104.14383170,17387,36.71388000,3256398.10673840,0
1731598020000,88788.01000000,88962.19000000,88788.01000000,88839.99000000,69.69317000,1731598079999,6193610.38894370,14638,34.23391000,3042142.52256880,0
1731598080000,88839.99000000,88980.00000000,88834.06000000,88951.99000000,54.69603000,1731598139999,4864692.97542230,10179,24.21840000,2153903.74145020,0
