timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1731597480000,212.08000000,212.24000000,211.48000000,211.60000000,8406.44700000,1731597539999,1780121.52174000,2980,2757.50600000,583909.50596000,0
1731597540000,211.62000000,211.71000000,211.02000000,211.12000000,10006.69000000,1731597599999,2115430.59933000,2516,3053.22800000,645336.52765000,0
1731597600000,211.13000000,211.55000000,210.85000000,210.86000000,9988.40300000,1731597659999,2110061.16142000,2645,3234.10900000,683254.46221000,0
1731597660000,210.86000000,211.09000000,210.54000000,210.68000000,12121.05000000,1731597719999,2555595.84769000,3257,6069.98100000,1279984.59277000,0
1731597720000,210.68000000,211.59000000,210.65000000,211.56000000,3970.95600000,1731597779999,838455.45704000,1983,1643.15900000,347107.78767000,0
1731597780000,211.56000000,211.56000000,211.17000000,211.37000000,6668.74900000,1731597839999,1409182.81300000,2080,2770.27300000,585409.94904000,0
1731597840000,211.36000000,211.50000000,210.72000000,211.19000000,11246.61400000,1731597899999,2374713.97613000,2690,3791.93600000,800758.81220000,0
1731597900000,211.19000000,211.48000000,210.41000000,210.86000000,7488.06900000,1731597959999,1578836.76707000,6517,3346.36200000,705535.77442000,0
1731597960000,210.85000000,211.44000000,210.61000000,211.38000000,6098.54700000,1731598019999,1287155.93370000,6384,2903.94900000,612945.99317000,0
1731598020000,211.38000000,211.91000000,211.29000000,211.61000000,4875.97100000,1731598079999,1031510.86358000,5499,3287.55400000,695428.63092000,0
1731598080000,211.60000000,212.00000000,211.60000000,211.90000000,2632.55700000,1731598139999,557773.17593000,3333,1410.60000000,298892.82156000,0
1731598140000,211.90000000,212.28000000,211.81000000,212.25000000,3246.57700000,1731598199999,688653.29926000,2860,2056.21600000,436118.67917000,0
1731598200000,212.25000000,212.33000000,211.87000000,211.98000000,2713.07900000,1731598259999,575426.41220000,5122,1089.52700000,231118.80662000,0
1731598260000,211.98000000,212.19000000,211.32000000,211.43000000,3462.55200000,1731598319999,733026.00578000,6464,1261.55200000,267091.08768000,0
1731598320000,211.44000000,211.46000000,209.94000000,210.31000000,20405.75100000,1731598379999,4297103.15018000,7276,3995.42000000,840821.46859000,0
1731598380000,210.31000000,210.65000000,209.95000000,209.96000000,6532.13700000,1731598439999,1373519.22685000,5401,2452.90800000,515859.73375000,0
1731598440000,209.96000000,211.12000000,209.96000000,210.23000000,9797.20000000,1731598499999,2062322.93145000,6065,6196.53000000,1304095.70731000,0
1731598500000,210.23000000,210.76000000,209.88000000,210.69000000,6832.55400000,1731598559999,1437152.84694000,7077,3066.18300000,645045.69240000,0
1731598560000,210.69000000,210.93000000,210.14000000,210.51000000,8823.17900000,1731598619999,1857342.44008000,6793,5423.15100000,1141278.76349000,0
1731598620000,210.51000000,210.80000000,210.31000000,210.54000000,8776.93700000,1731598679999,1847330.75950000,6269,3616.34900000,761275.95254000,0
1731598680000,210.54000000,211.04000000,210.31000000,210.91000000,5297.10500000,1731598739999,1116671.86627000,4605,3644.64900000,768333.64354000,0
1731598740000,210.90000000,211.14000000,210.61000000,210.77000000,5075.29200000,1731598799999,1070308.61683000,3465,3830.29600000,807724.59362000,0
1731598800000,210.78000000,210.78000000,210.32000000,210.38000000,5027.85200000,1731598859999,1058430.00377000,6247,2355.84000000,495964.48972000,0
1731598860000,210.38000000,210.43000000,209.90000000,210.04000000,6100.01200000,1731598919999,1281814.51132000,4689,2266.02300000,476233.78086000,0
1731598920000,210.04000000,210.38000000,209.88000000,209.96000000,9807.52700000,1731598979999,2060013.21055000,3961,5588.85400000,1173756.73178000,0
1731598980000,209.97000000,210.10000000,209.75000000,210.00000000,11828.82500000,1731599039999,2483508.88879000,3511,4059.97600000,852593.04586000,0
1731599040000,210.01000000,210.30000000,209.82000000,210.16000000,9453.86900000,1731599099999,1986252.37405000,2603,6125.63900000,1286983.57984000,0
1731599100000,210.16000000,210.31000000,209.78000000,209.81000000,6762.39200000,1731599159999,1419720.96919000,3838,1853.48200000,389156.37891000,0
1731599160000,209.81000000,210.58000000,209.77000000,210.51000000,4682.22100000,1731599219999,984424.97227000,5245,2461.29400000,517481.55486000,0
1731599220000,210.51000000,210.72000000,210.40000000,210.64000000,4691.24400000,1731599279999,987781.83448000,5396,2455.09800000,516974.67681000,0
1731599280000,210.63000000,210.76000000,210.43000000,210.46000000,5765.74100000,1731599339999,1214409.94485000,4830,1797.66100000,378579.76832000,0
1731599340000,210.46000000,210.62000000,209.70000000,210.55000000,12535.13400000,1731599399999,2632854.31993000,5985,4611.30800000,968659.49016000,0
1731599400000,210.55000000,211.09000000,210.16000000,210.92000000,9065.96000000,1731599459999,1909478.64641000,5002,6048.70600000,1274178.60383000,0
1731599460000,210.92000000,211.02000000,210.33000000,210.56000000,5815.15400000,1731599519999,1225035.14893000,6735,2864.08600000,603446.07915000,0
1731599520000,210.57000000,211.16000000,210.51000000,210.94000000,5210.33300000,1731599579999,1098635.29716000,5348,3664.36600000,772641.15400000,0
1731599580000,210.94000000,211.36000000,210.84000000,211.33000000,8622.29100000,1731599639999,1820861.18280000,3902,7496.30300000,1583123.89527000,0
1731599640000,211.32000000,211.47000000,211.07000000,211.08000000,3478.70700000,1731599699999,734792.83468000,3867,1626.06600000,343466.01011000,0
1731599700000,211.07000000,211.37000000,210.95000000,210.97000000,3170.70400000,1731599759999,669352.64561000,3707,1179.22200000,249005.84447000,0
1731599760000,210.98000000,211.19000000,210.94000000,211.12000000,3283.35900000,1731599819999,692969.83854000,3876,2314.09200000,488379.03543000,0
1731599820000,211.11000000,211.46000000,211.03000000,211.41000000,4343.46000000,1731599879999,917562.28231000,3501,2749.91600000,580921.70131000,0
1731599880000,211.41000000,211.42000000,211.18000000,211.20000000,4235.57100000,1731599939999,894923.56903000,1695,1346.87300000,284604.16518000,0
1731599940000,211.19000000,211.27000000,210.66000000,210.84000000,17684.38900000,1731599999999,3731583.16171000,3442,4818.26100000,1017203.88245000,0
1731600000000,210.84000000,211.54000000,210.78000000,211.52000000,21789.10800000,1731600059999,4600304.82241000,5923,10636.07600000,2246136.21352000,0
1731600060000,211.52000000,211.54000000,210.62000000,210.65000000,8838.26900000,1731600119999,1865442.79940000,6295,2674.28300000,564468.69393000,0
1731600120000,210.63000000,210.86000000,210.35000000,210.41000000,8914.18400000,1731600179999,1877329.44276000,3642,2078.94900000,437924.65605000,0
1731600180000,210.42000000,210.58000000,209.88000000,209.88000000,15412.88600000,1731600239999,3240104.25771000,6594,3248.19200000,682653.70260000,0
1731600240000,209.89000000,210.68000000,209.85000000,210.67000000,9395.12200000,1731600299999,1973854.69879000,5932,6594.94600000,1385737.58123000,0
1731600300000,210.68000000,211.32000000,210.67000000,211.30000000,9360.89300000,1731600359999,1975077.48486000,6556,5067.61800000,1069231.34239000,0
1731600360000,211.29000000,211.71000000,211.01000000,211.67000000,7021.83400000,1731600419999,1484985.22199000,3887,4284.65400000,906153.25626000,0
1731600420000,211.67000000,211.67000000,211.13000000,211.49000000,4759.02400000,1731600479999,1005965.54769000,4303,2052.56200000,433970.86031000,0
1731600480000,211.49000000,211.57000000,211.23000000,211.28000000,2840.84400000,1731600539999,600473.80538000,4297,1155.65100000,244289.55987000,0
1731600540000,211.27000000,211.79000000,211.20000000,211.76000000,7821.66200000,1731600599999,1653872.98340000,3425,4913.22100000,1038720.34161000,0
1731600600000,211.76000000,211.80000000,211.21000000,211.34000000,4558.56300000,1731600659999,964063.67624000,3307,2782.81900000,588491.15441000,0
1731600660000,211.34000000,211.50000000,211.17000000,211.28000000,3862.82500000,1731600719999,816178.94879000,3272,1448.60300000,306087.15068000,0
1731600720000,211.28000000,211.75000000,211.24000000,211.58000000,3853.67100000,1731600779999,814995.16385000,3745,3011.22300000,636843.13935000,0
1731600780000,211.58000000,211.64000000,211.45000000,211.60000000,1888.01700000,1731600839999,399401.65617000,2688,947.99400000,200552.50028000,0
1731600840000,211.59000000,211.87000000,211.40000000,211.87000000,3341.04700000,1731600899999,707213.30271000,2878,2352.95000000,498117.01540000,0
1731600900000,211.87000000,211.93000000,211.56000000,211.90000000,3251.28500000,1731600959999,688572.49328000,2984,1708.90300000,361934.41901000,0
1731600960000,211.90000000,212.40000000,211.77000000,212.24000000,18681.38600000,1731601019999,3963212.71138000,4881,16879.10600000,3580756.38445000,0
1731601020000,212.25000000,212.66000000,212.12000000,212.26000000,7187.14700000,1731601079999,1526703.82028000,4640,3797.46600000,806814.94010000,0
1731601080000,212.26000000,212.70000000,212.21000000,212.60000000,3707.88800000,1731601139999,787791.40169000,3182,1760.38900000,374067.02499000,0
1731601140000,212.61000000,212.82000000,212.52000000,212.79000000,3817.84600000,1731601199999,811862.74156000,2366,1573.96100000,334756.60819000,0
1731601200000,212.79000000,212.94000000,212.41000000,212.42000000,6281.36900000,1731601259999,1336412.91643000,3479,1199.44300000,255201.14556000,0
1731601260000,212.41000000,212.64000000,212.24000000,212.64000000,4049.20600000,1731601319999,860053.86544000,2892,2695.42800000,572497.85786000,0
1731601320000,212.63000000,212.80000000,212.50000000,212.60000000,3587.38100000,1731601379999,762759.77280000,2445,2250.14900000,478454.32908000,0
1731601380000,212.60000000,212.60000000,212.12000000,212.19000000,3833.01200000,1731601439999,813860.04003000,1676,1143.35600000,242764.98303000,0
1731601440000,212.18000000,212.29000000,212.04000000,212.24000000,1862.83800000,1731601499999,395271.55826000,1717,1241.10700000,263352.37030000,0
1731601500000,212.24000000,212.24000000,211.63000000,211.92000000,7161.68000000,1731601559999,1517327.48695000,3181,2693.94400000,570588.64877000,0
1731601560000,211.93000000,212.13000000,211.85000000,211.96000000,3635.03700000,1731601619999,770659.10043000,2678,2088.16000000,442706.69736000,0
1731601620000,211.96000000,212.32000000,211.91000000,212.19000000,2418.76600000,1731601679999,512996.19847000,2221,1623.73600000,344418.14644000,0
1731601680000,212.19000000,212.64000000,212.11000000,212.53000000,5623.39700000,1731601739999,1194017.20513000,2205,3117.89300000,662259.05283000,0
1731601740000,212.53000000,212.76000000,212.47000000,212.67000000,2691.62400000,1731601799999,572216.98462000,1699,1796.94400000,382008.98152000,0
1731601800000,212.67000000,213.12000000,212.57000000,212.96000000,4081.92100000,1731601859999,868875.02204000,3575,2672.99100000,568989.93702000,0
1731601860000,212.97000000,213.32000000,212.94000000,213.24000000,2680.54700000,1731601919999,571313.92219000,2916,1572.56400000,335126.26139000,0
1731601920000,213.24000000,213.40000000,213.16000000,213.37000000,2517.42900000,1731601979999,536958.13785000,2357,1550.40600000,330699.52964000,0
1731601980000,213.36000000,213.41000000,212.67000000,212.79000000,17503.91700000,1731602039999,3728387.85254000,4541,5725.45800000,1219407.58522000,0
1731602040000,212.79000000,212.88000000,212.66000000,212.81000000,2368.53700000,1731602099999,504018.83295000,2435,731.52900000,155661.17726000,0
1731602100000,212.82000000,213.07000000,212.61000000,213.02000000,5338.83400000,1731602159999,1136074.81724000,2649,2596.73800000,552531.19853000,0
1731602160000,213.02000000,213.16000000,212.91000000,213.01000000,5095.50500000,1731602219999,1085604.20494000,2896,1554.46000000,331181.17554000,0
